,School District Code,LABEL_LVL_1_DESC,PROGRAM_TOTAL,PROGRAM_PERCENT,TOTAL_COUNT
53,607,Grad Rate -Black,125.0,89.93,139.0
54,607,Grad Rate -Economically Disadvantaged,372.0,89.64,415.0
55,607,Grad Rate -Female,409.0,90.89,450.0
56,607,Grad Rate -Hispanic,159.0,86.41,184.0
57,607,Grad Rate -Homeless,46.0,71.88,64.0
58,607,Grad Rate -Limited English Proficient,41.0,78.85,52.0
59,607,Grad Rate -Male,392.0,84.48,464.0
60,607,Grad Rate -Multi-Racial,27.0,84.38,32.0
61,607,Grad Rate -Not Economically Disadvantaged,429.0,86.0,499.0
62,607,Grad Rate -Students With Disability,88.0,73.95,119.0
63,607,Grad Rate -Students Without Disability,713.0,89.7,795.0
64,607,Grad Rate -White,442.0,87.35,506.0
65,608,Grad Rate -ALL Students,866.0,89.19,971.0
66,608,Grad Rate -Black,93.0,90.29,103.0
67,608,Grad Rate -Economically Disadvantaged,351.0,82.39,426.0
68,608,Grad Rate -Female,432.0,91.72,471.0
69,608,Grad Rate -Hispanic,116.0,91.34,127.0
70,608,Grad Rate -Homeless,27.0,96.43,28.0
71,608,Grad Rate -Limited English Proficient,17.0,80.95,21.0
72,608,Grad Rate -Male,434.0,86.8,500.0
73,608,Grad Rate -Multi-Racial,17.0,60.71,28.0
74,608,Grad Rate -Not Economically Disadvantaged,515.0,94.5,545.0
75,608,Grad Rate -Students With Disability,78.0,70.27,111.0
76,608,Grad Rate -Students Without Disability,788.0,91.6,860.0
77,608,Grad Rate -White,632.0,89.9,703.0
78,609,Grad Rate -ALL Students,193.0,88.53,218.0
79,609,Grad Rate -Black,73.0,92.41,79.0
80,609,Grad Rate -Economically Disadvantaged,193.0,88.53,218.0
81,609,Grad Rate -Female,106.0,91.38,116.0
82,609,Grad Rate -Hispanic,20.0,100.0,20.0
83,609,Grad Rate -Male,87.0,85.29,102.0
84,609,Grad Rate -Students With Disability,21.0,72.41,29.0
85,609,Grad Rate -Students Without Disability,172.0,91.0,189.0
86,609,Grad Rate -White,92.0,85.19,108.0
87,610,Grad Rate -ALL Students,188.0,86.64,217.0
88,610,Grad Rate -Black,20.0,95.24,21.0
89,610,Grad Rate -Economically Disadvantaged,188.0,86.64,217.0
90,610,Grad Rate -Female,103.0,91.15,113.0
91,610,Grad Rate -Hispanic,15.0,93.75,16.0
92,610,Grad Rate -Male,85.0,81.73,104.0
93,610,Grad Rate -Students With Disability,13.0,72.22,18.0
94,610,Grad Rate -Students Without Disability,175.0,87.9,199.0
95,610,Grad Rate -White,148.0,84.57,175.0
96,611,Grad Rate -ALL Students,1366.0,79.37,1721.0
97,611,Grad Rate -Asian/Pacific Islander,30.0,96.77,31.0
98,611,Grad Rate -Black,1012.0,79.5,1273.0
99,611,Grad Rate -Economically Disadvantaged,1366.0,79.46,1719.0
100,611,Grad Rate -Female,724.0,85.68,845.0
101,611,Grad Rate -Hispanic,56.0,74.67,75.0
102,611,Grad Rate -Homeless,53.0,60.92,87.0
103,611,Grad Rate -Limited English Proficient,21.0,87.5,24.0
104,611,Grad Rate -Male,642.0,73.29,876.0
105,611,Grad Rate -Multi-Racial,21.0,63.64,33.0
106,611,Grad Rate -Students With Disability,107.0,58.79,182.0
107,611,Grad Rate -Students Without Disability,1259.0,81.8,1539.0
108,611,Grad Rate -White,247.0,79.94,309.0
109,612,Grad Rate -ALL Students,171.0,92.93,184.0
110,612,Grad Rate -Black,37.0,90.24,41.0
111,612,Grad Rate -Economically Disadvantaged,86.0,88.66,97.0
112,612,Grad Rate -Female,96.0,96.97,99.0
113,612,Grad Rate -Male,75.0,88.24,85.0
114,612,Grad Rate -Not Economically Disadvantaged,85.0,97.7,87.0
115,612,Grad Rate -Students With Disability,18.0,75.0,24.0
116,612,Grad Rate -Students Without Disability,153.0,95.6,160.0
117,612,Grad Rate -White,124.0,93.23,133.0
118,613,Grad Rate -ALL Students,206.0,85.48,241.0
119,613,Grad Rate -Economically Disadvantaged,206.0,85.48,241.0
120,613,Grad Rate -Female,94.0,88.68,106.0
121,613,Grad Rate -Male,112.0,82.96,135.0
122,613,Grad Rate -Students With Disability,19.0,73.08,26.0
123,613,Grad Rate -Students Without Disability,187.0,87.0,215.0
124,613,Grad Rate -White,193.0,85.4,226.0
125,614,Grad Rate -ALL Students,131.0,92.25,142.0
126,614,Grad Rate -Black,68.0,93.15,73.0
127,614,Grad Rate -Economically Disadvantaged,131.0,92.25,142.0
128,614,Grad Rate -Female,58.0,96.67,60.0
129,614,Grad Rate -Hispanic,17.0,100.0,17.0
130,614,Grad Rate -Male,73.0,89.02,82.0
131,614,Grad Rate -Students With Disability,13.0,76.47,17.0
132,614,Grad Rate -Students Without Disability,118.0,94.4,125.0
133,614,Grad Rate -White,41.0,89.13,46.0
134,615,Grad Rate -ALL Students,639.0,89.12,717.0
135,615,Grad Rate -Active Duty,123.0,95.35,129.0
136,615,Grad Rate -Asian/Pacific Islander,27.0,93.1,29.0
137,615,Grad Rate -Black,119.0,88.15,135.0
138,615,Grad Rate -Economically Disadvantaged,165.0,78.57,210.0
139,615,Grad Rate -Female,310.0,92.54,335.0
140,615,Grad Rate -Hispanic,42.0,91.3,46.0
141,615,Grad Rate -Limited English Proficient,10.0,76.92,13.0
142,615,Grad Rate -Male,329.0,86.13,382.0
143,615,Grad Rate -Multi-Racial,30.0,85.71,35.0
144,615,Grad Rate -Not Economically Disadvantaged,474.0,93.5,507.0
145,615,Grad Rate -Students With Disability,54.0,73.97,73.0
146,615,Grad Rate -Students Without Disability,585.0,90.8,644.0
147,615,Grad Rate -White,418.0,89.13,469.0
148,616,Grad Rate -ALL Students,620.0,79.9,776.0
149,616,Grad Rate -Black,182.0,71.09,256.0
150,616,Grad Rate -Economically Disadvantaged,280.0,70.18,399.0
151,616,Grad Rate -Female,321.0,85.6,375.0
152,616,Grad Rate -Hispanic,42.0,71.19,59.0
153,616,Grad Rate -Homeless,11.0,50.0,22.0
154,616,Grad Rate -Male,299.0,74.56,401.0
155,616,Grad Rate -Multi-Racial,27.0,84.38,32.0
156,616,Grad Rate -Not Economically Disadvantaged,340.0,90.2,377.0
157,616,Grad Rate -Students With Disability,66.0,60.0,110.0
158,616,Grad Rate -Students Without Disability,554.0,83.2,666.0
159,616,Grad Rate -White,361.0,85.95,420.0
160,617,Grad Rate -ALL Students,260.0,91.55,284.0
161,617,Grad Rate -Black,173.0,92.02,188.0
162,617,Grad Rate -Economically Disadvantaged,260.0,91.55,284.0
163,617,Grad Rate -Female,150.0,96.15,156.0
164,617,Grad Rate -Hispanic,10.0,100.0,10.0
165,617,Grad Rate -Male,110.0,85.94,128.0
166,617,Grad Rate -Students With Disability,20.0,76.92,26.0
167,617,Grad Rate -Students Without Disability,240.0,93.0,258.0
168,617,Grad Rate -White,72.0,91.14,79.0
169,618,Grad Rate -ALL Students,213.0,83.53,255.0
170,618,Grad Rate -Black,79.0,88.76,89.0
171,618,Grad Rate -Economically Disadvantaged,213.0,83.53,255.0
172,618,Grad Rate -Female,99.0,83.9,118.0
173,618,Grad Rate -Homeless,14.0,73.68,19.0
174,618,Grad Rate -Male,114.0,83.21,137.0
175,618,Grad Rate -Students With Disability,26.0,70.27,37.0
176,618,Grad Rate -Students Without Disability,187.0,85.8,218.0
177,618,Grad Rate -White,121.0,80.67,150.0
178,619,Grad Rate -ALL Students,46.0,88.46,52.0
179,619,Grad Rate -Black,46.0,90.2,51.0
180,619,Grad Rate -Economically Disadvantaged,46.0,88.46,52.0
181,619,Grad Rate -Female,22.0,95.65,23.0
182,619,Grad Rate -Male,24.0,82.76,29.0
183,619,Grad Rate -Students Without Disability,41.0,91.1,45.0
184,620,Grad Rate -ALL Students,552.0,95.5,578.0
185,620,Grad Rate -Active Duty,111.0,98.23,113.0
186,620,Grad Rate -Black,131.0,94.24,139.0
187,620,Grad Rate -Economically Disadvantaged,190.0,92.23,206.0
188,620,Grad Rate -Female,288.0,96.97,297.0
189,620,Grad Rate -Hispanic,44.0,95.65,46.0
190,620,Grad Rate -Male,264.0,93.95,281.0
191,620,Grad Rate -Multi-Racial,34.0,87.18,39.0
192,620,Grad Rate -Not Economically Disadvantaged,362.0,97.3,372.0
193,620,Grad Rate -Students With Disability,52.0,86.67,60.0
194,620,Grad Rate -Students Without Disability,500.0,96.5,518.0
195,620,Grad Rate -White,333.0,96.8,344.0
196,621,Grad Rate -ALL Students,117.0,93.6,125.0
197,621,Grad Rate -Black,29.0,96.67,30.0
198,621,Grad Rate -Economically Disadvantaged,117.0,93.6,125.0
199,621,Grad Rate -Female,58.0,95.08,61.0
200,621,Grad Rate -Hispanic,22.0,91.67,24.0
201,621,Grad Rate -Male,59.0,92.19,64.0
202,621,Grad Rate -Students With Disability,10.0,90.91,11.0
203,621,Grad Rate -Students Without Disability,107.0,93.9,114.0
204,621,Grad Rate -White,61.0,92.42,66.0
205,622,Grad Rate -ALL Students,967.0,93.25,1037.0
206,622,Grad Rate -Black,193.0,96.02,201.0
207,622,Grad Rate -Economically Disadvantaged,468.0,92.67,505.0
208,622,Grad Rate -Female,491.0,97.04,506.0
209,622,Grad Rate -Hispanic,57.0,89.06,64.0
210,622,Grad Rate -Homeless,73.0,93.59,78.0
211,622,Grad Rate -Male,476.0,89.64,531.0
212,622,Grad Rate -Multi-Racial,53.0,94.64,56.0
213,622,Grad Rate -Not Economically Disadvantaged,499.0,93.8,532.0
214,622,Grad Rate -Students With Disability,121.0,89.63,135.0
215,622,Grad Rate -Students Without Disability,846.0,93.8,902.0
216,622,Grad Rate -White,657.0,92.67,709.0
217,623,Grad Rate -ALL Students,709.0,87.42,811.0
218,623,Grad Rate -Asian/Pacific Islander,14.0,87.5,16.0
219,623,Grad Rate -Black,13.0,81.25,16.0
220,623,Grad Rate -Economically Disadvantaged,253.0,84.33,300.0
221,623,Grad Rate -Female,343.0,89.09,385.0
222,623,Grad Rate -Hispanic,33.0,89.19,37.0
223,623,Grad Rate -Homeless,43.0,72.88,59.0
224,623,Grad Rate -Male,366.0,85.92,426.0
225,623,Grad Rate -Multi-Racial,22.0,91.67,24.0
226,623,Grad Rate -Not Economically Disadvantaged,456.0,89.2,511.0
227,623,Grad Rate -Students With Disability,108.0,81.82,132.0
228,623,Grad Rate -Students Without Disability,601.0,88.5,679.0
229,623,Grad Rate -White,624.0,87.27,715.0
230,624,Grad Rate -ALL Students,109.0,90.83,120.0
231,624,Grad Rate -Black,37.0,94.87,39.0
232,624,Grad Rate -Economically Disadvantaged,52.0,85.25,61.0
233,624,Grad Rate -Female,59.0,95.16,62.0
234,624,Grad Rate -Male,50.0,86.21,58.0
235,624,Grad Rate -Not Economically Disadvantaged,57.0,96.6,59.0
236,624,Grad Rate -Students Without Disability,107.0,92.2,116.0
237,624,Grad Rate -White,62.0,87.32,71.0
238,625,Grad Rate -ALL Students,2060.0,87.81,2346.0
239,625,Grad Rate -Active Duty,86.0,92.47,93.0
240,625,Grad Rate -Asian/Pacific Islander,56.0,94.92,59.0
241,625,Grad Rate -Black,1240.0,86.59,1432.0
242,625,Grad Rate -Economically Disadvantaged,1045.0,84.0,1244.0
243,625,Grad Rate -Female,1132.0,92.11,1229.0
244,625,Grad Rate -Hispanic,163.0,86.7,188.0
245,625,Grad Rate -Homeless,55.0,75.34,73.0
246,625,Grad Rate -Limited English Proficient,28.0,66.67,42.0
247,625,Grad Rate -Male,928.0,83.08,1117.0
248,625,Grad Rate -Multi-Racial,74.0,85.06,87.0
249,625,Grad Rate -Not Economically Disadvantaged,1015.0,92.1,1102.0
250,625,Grad Rate -Students With Disability,121.0,61.73,196.0
251,625,Grad Rate -Students Without Disability,1939.0,90.2,2150.0
252,625,Grad Rate -White,526.0,91.0,578.0
253,626,Grad Rate -ALL Students,92.0,76.67,120.0
254,626,Grad Rate -Active Duty,53.0,79.1,67.0
255,626,Grad Rate -Black,21.0,75.0,28.0
256,626,Grad Rate -Economically Disadvantaged,39.0,69.64,56.0
257,626,Grad Rate -Female,40.0,76.92,52.0
258,626,Grad Rate -Hispanic,17.0,80.95,21.0
259,626,Grad Rate -Male,52.0,76.47,68.0
260,626,Grad Rate -Not Economically Disadvantaged,53.0,82.8,64.0
261,626,Grad Rate -Students With Disability,12.0,80.0,15.0
262,626,Grad Rate -Students Without Disability,80.0,76.2,105.0
263,626,Grad Rate -White,45.0,76.27,59.0
264,627,Grad Rate -ALL Students,192.0,87.27,220.0
265,627,Grad Rate -Black,15.0,93.75,16.0
266,627,Grad Rate -Economically Disadvantaged,128.0,88.89,144.0
267,627,Grad Rate -Female,102.0,89.47,114.0
268,627,Grad Rate -Hispanic,10.0,83.33,12.0
269,627,Grad Rate -Homeless,40.0,88.89,45.0
270,627,Grad Rate -Male,90.0,84.91,106.0
271,627,Grad Rate -Multi-Racial,11.0,91.67,12.0
272,627,Grad Rate -Not Economically Disadvantaged,64.0,84.2,76.0
273,627,Grad Rate -Students With Disability,24.0,77.42,31.0
274,627,Grad Rate -Students Without Disability,168.0,88.9,189.0
275,627,Grad Rate -White,156.0,86.67,180.0
276,628,Grad Rate -ALL Students,2871.0,86.87,3305.0
277,628,Grad Rate -Active Duty,14.0,87.5,16.0
278,628,Grad Rate -Asian/Pacific Islander,64.0,95.52,67.0
279,628,Grad Rate -Black,225.0,84.59,266.0
280,628,Grad Rate -Economically Disadvantaged,533.0,85.55,623.0
281,628,Grad Rate -Female,1434.0,90.7,1581.0
282,628,Grad Rate -Hispanic,460.0,77.97,590.0
283,628,Grad Rate -Homeless,19.0,61.29,31.0
284,628,Grad Rate -Limited English Proficient,115.0,61.5,187.0
285,628,Grad Rate -Male,1437.0,83.35,1724.0
286,628,Grad Rate -Multi-Racial,94.0,87.85,107.0
287,628,Grad Rate -Not Economically Disadvantaged,2338.0,87.2,2682.0
288,628,Grad Rate -Students With Disability,236.0,69.82,338.0
289,628,Grad Rate -Students Without Disability,2635.0,88.8,2967.0
290,628,Grad Rate -White,2020.0,89.1,2267.0
291,629,Grad Rate -ALL Students,627.0,81.43,770.0
292,629,Grad Rate -Asian/Pacific Islander,14.0,100.0,14.0
293,629,Grad Rate -Black,321.0,81.47,394.0
294,629,Grad Rate -Economically Disadvantaged,627.0,81.43,770.0
295,629,Grad Rate -Female,343.0,88.4,388.0
296,629,Grad Rate -Hispanic,143.0,72.59,197.0
297,629,Grad Rate -Homeless,23.0,57.5,40.0
298,629,Grad Rate -Limited English Proficient,34.0,55.74,61.0
299,629,Grad Rate -Male,284.0,74.35,382.0
300,629,Grad Rate -Multi-Racial,28.0,84.85,33.0
301,629,Grad Rate -Students With Disability,66.0,62.86,105.0
302,629,Grad Rate -Students Without Disability,561.0,84.4,665.0
303,629,Grad Rate -White,120.0,91.6,131.0
304,631,Grad Rate -ALL Students,2836.0,72.68,3902.0
305,631,Grad Rate -Asian/Pacific Islander,155.0,88.57,175.0
306,631,Grad Rate -Black,2084.0,74.11,2812.0
307,631,Grad Rate -Economically Disadvantaged,2836.0,72.68,3902.0
308,631,Grad Rate -Female,1546.0,79.94,1934.0
309,631,Grad Rate -Hispanic,507.0,67.24,754.0
310,631,Grad Rate -Homeless,94.0,54.65,172.0
311,631,Grad Rate -Limited English Proficient,153.0,57.95,264.0
312,631,Grad Rate -Male,1290.0,65.55,1968.0
313,631,Grad Rate -Multi-Racial,50.0,64.94,77.0
314,631,Grad Rate -Students With Disability,233.0,50.32,463.0
315,631,Grad Rate -Students Without Disability,2603.0,75.7,3439.0
316,631,Grad Rate -White,39.0,47.56,82.0
317,632,Grad Rate -ALL Students,87.0,88.78,98.0
318,632,Grad Rate -Black,27.0,87.1,31.0
319,632,Grad Rate -Economically Disadvantaged,47.0,88.68,53.0
320,632,Grad Rate -Female,34.0,82.93,41.0
321,632,Grad Rate -Male,53.0,92.98,57.0
322,632,Grad Rate -Not Economically Disadvantaged,40.0,88.9,45.0
323,632,Grad Rate -Students Without Disability,79.0,89.8,88.0
324,632,Grad Rate -White,57.0,89.06,64.0
325,633,Grad Rate -ALL Students,7879.0,86.98,9058.0
326,633,Grad Rate -Active Duty,30.0,93.75,32.0
327,633,Grad Rate -American Indian/Alaskan,15.0,88.24,17.0
328,633,Grad Rate -Asian/Pacific Islander,481.0,95.82,502.0
329,633,Grad Rate -Black,2470.0,85.08,2903.0
330,633,Grad Rate -Economically Disadvantaged,2599.0,78.09,3328.0
331,633,Grad Rate -Female,4023.0,90.4,4450.0
332,633,Grad Rate -Hispanic,1395.0,75.24,1854.0
333,633,Grad Rate -Homeless,127.0,67.2,189.0
334,633,Grad Rate -Limited English Proficient,412.0,60.68,679.0
335,633,Grad Rate -Male,3856.0,83.68,4608.0
336,633,Grad Rate -Multi-Racial,267.0,90.82,294.0
337,633,Grad Rate -Not Economically Disadvantaged,5280.0,92.1,5730.0
338,633,Grad Rate -Students With Disability,707.0,70.84,998.0
339,633,Grad Rate -Students Without Disability,7172.0,89.0,8060.0
340,633,Grad Rate -White,3251.0,93.21,3488.0
341,634,Grad Rate -ALL Students,441.0,84.16,524.0
342,634,Grad Rate -Black,163.0,85.79,190.0
343,634,Grad Rate -Economically Disadvantaged,441.0,85.14,518.0
344,634,Grad Rate -Female,214.0,88.43,242.0
345,634,Grad Rate -Hispanic,79.0,84.04,94.0
346,634,Grad Rate -Homeless,14.0,70.0,20.0
347,634,Grad Rate -Limited English Proficient,13.0,65.0,20.0
348,634,Grad Rate -Male,227.0,80.5,282.0
349,634,Grad Rate -Migrant,11.0,73.33,15.0
350,634,Grad Rate -Students With Disability,33.0,75.0,44.0
351,634,Grad Rate -Students Without Disability,408.0,85.0,480.0
352,634,Grad Rate -White,189.0,83.26,227.0
353,635,Grad Rate -ALL Students,577.0,85.36,676.0
354,635,Grad Rate -Black,148.0,87.06,170.0
355,635,Grad Rate -Economically Disadvantaged,577.0,85.36,676.0
356,635,Grad Rate -Female,293.0,90.43,324.0
357,635,Grad Rate -Hispanic,154.0,84.62,182.0
358,635,Grad Rate -Homeless,20.0,86.96,23.0
359,635,Grad Rate -Limited English Proficient,46.0,75.41,61.0
360,635,Grad Rate -Male,284.0,80.68,352.0
361,635,Grad Rate -Migrant,25.0,75.76,33.0
362,635,Grad Rate -Multi-Racial,11.0,78.57,14.0
363,635,Grad Rate -Students With Disability,53.0,63.1,84.0
364,635,Grad Rate -Students Without Disability,524.0,88.5,592.0
365,635,Grad Rate -White,259.0,84.92,305.0
366,636,Grad Rate -ALL Students,1904.0,92.03,2069.0
367,636,Grad Rate -Active Duty,243.0,93.46,260.0
368,636,Grad Rate -Asian/Pacific Islander,81.0,98.78,82.0
369,636,Grad Rate -Black,409.0,89.69,456.0
370,636,Grad Rate -Economically Disadvantaged,536.0,85.35,628.0
371,636,Grad Rate -Female,941.0,94.57,995.0
372,636,Grad Rate -Hispanic,189.0,91.75,206.0
373,636,Grad Rate -Homeless,43.0,79.63,54.0
374,636,Grad Rate -Limited English Proficient,12.0,80.0,15.0
375,636,Grad Rate -Male,963.0,89.66,1074.0
376,636,Grad Rate -Multi-Racial,86.0,91.49,94.0
377,636,Grad Rate -Not Economically Disadvantaged,1368.0,94.9,1441.0
378,636,Grad Rate -Students With Disability,97.0,68.79,141.0
379,636,Grad Rate -Students Without Disability,1807.0,93.7,1928.0
380,636,Grad Rate -White,1134.0,92.5,1226.0
381,637,Grad Rate -ALL Students,182.0,88.35,206.0
382,637,Grad Rate -Black,54.0,90.0,60.0
383,637,Grad Rate -Economically Disadvantaged,98.0,84.48,116.0
384,637,Grad Rate -Female,86.0,88.66,97.0
385,637,Grad Rate -Hispanic,14.0,77.78,18.0
386,637,Grad Rate -Male,96.0,88.07,109.0
387,637,Grad Rate -Not Economically Disadvantaged,84.0,93.3,90.0
388,637,Grad Rate -Students With Disability,16.0,69.57,23.0
389,637,Grad Rate -Students Without Disability,166.0,90.7,183.0
390,637,Grad Rate -White,100.0,87.72,114.0
391,638,Grad Rate -ALL Students,1584.0,86.89,1823.0
392,638,Grad Rate -Active Duty,14.0,87.5,16.0
393,638,Grad Rate -Asian/Pacific Islander,42.0,84.0,50.0
394,638,Grad Rate -Black,327.0,83.21,393.0
395,638,Grad Rate -Economically Disadvantaged,422.0,74.43,567.0
396,638,Grad Rate -Female,798.0,89.86,888.0
397,638,Grad Rate -Hispanic,124.0,79.49,156.0
398,638,Grad Rate -Homeless,20.0,62.5,32.0
399,638,Grad Rate -Limited English Proficient,23.0,47.92,48.0
400,638,Grad Rate -Male,786.0,84.06,935.0
401,638,Grad Rate -Multi-Racial,56.0,90.32,62.0
402,638,Grad Rate -Not Economically Disadvantaged,1162.0,92.5,1256.0
403,638,Grad Rate -Students With Disability,115.0,59.59,193.0
404,638,Grad Rate -Students Without Disability,1469.0,90.1,1630.0
405,638,Grad Rate -White,1031.0,89.26,1155.0
406,639,Grad Rate -ALL Students,90.0,67.67,133.0
407,639,Grad Rate -Black,23.0,69.7,33.0
408,639,Grad Rate -Economically Disadvantaged,90.0,67.67,133.0
409,639,Grad Rate -Female,44.0,69.84,63.0
410,639,Grad Rate -Male,46.0,65.71,70.0
411,639,Grad Rate -Students With Disability,12.0,57.14,21.0
412,639,Grad Rate -Students Without Disability,78.0,69.6,112.0
413,639,Grad Rate -White,59.0,66.29,89.0
414,640,Grad Rate -ALL Students,235.0,87.69,268.0
415,640,Grad Rate -Black,125.0,89.29,140.0
416,640,Grad Rate -Economically Disadvantaged,235.0,87.69,268.0
417,640,Grad Rate -Female,123.0,90.44,136.0
418,640,Grad Rate -Male,112.0,84.85,132.0
419,640,Grad Rate -Students With Disability,23.0,79.31,29.0
420,640,Grad Rate -Students Without Disability,212.0,88.7,239.0
421,640,Grad Rate -White,92.0,85.19,108.0
422,641,Grad Rate -ALL Students,113.0,80.71,140.0
423,641,Grad Rate -Economically Disadvantaged,62.0,75.61,82.0
424,641,Grad Rate -Female,57.0,82.61,69.0
425,641,Grad Rate -Male,56.0,78.87,71.0
426,641,Grad Rate -Not Economically Disadvantaged,51.0,87.9,58.0
427,641,Grad Rate -Students With Disability,12.0,52.17,23.0
428,641,Grad Rate -Students Without Disability,101.0,86.3,117.0
429,641,Grad Rate -White,108.0,80.6,134.0
430,642,Grad Rate -ALL Students,248.0,95.75,259.0
431,642,Grad Rate -Economically Disadvantaged,82.0,93.18,88.0
432,642,Grad Rate -Female,103.0,94.5,109.0
433,642,Grad Rate -Hispanic,23.0,100.0,23.0
434,642,Grad Rate -Homeless,13.0,92.86,14.0
435,642,Grad Rate -Male,145.0,96.67,150.0
436,642,Grad Rate -Not Economically Disadvantaged,166.0,97.1,171.0
437,642,Grad Rate -Students With Disability,26.0,83.87,31.0
438,642,Grad Rate -Students Without Disability,222.0,97.4,228.0
439,642,Grad Rate -White,221.0,95.67,231.0
440,643,Grad Rate -ALL Students,373.0,84.97,439.0
441,643,Grad Rate -Black,183.0,84.33,217.0
442,643,Grad Rate -Economically Disadvantaged,373.0,84.97,439.0
443,643,Grad Rate -Female,175.0,87.06,201.0
444,643,Grad Rate -Hispanic,37.0,84.09,44.0
445,643,Grad Rate -Homeless,10.0,76.92,13.0
446,643,Grad Rate -Limited English Proficient,13.0,76.47,17.0
447,643,Grad Rate -Male,198.0,83.19,238.0
448,643,Grad Rate -Students With Disability,32.0,66.67,48.0
449,643,Grad Rate -Students Without Disability,341.0,87.2,391.0
450,643,Grad Rate -White,149.0,86.63,172.0
451,644,Grad Rate -ALL Students,5341.0,73.41,7276.0
452,644,Grad Rate -American Indian/Alaskan,12.0,75.0,16.0
453,644,Grad Rate -Asian/Pacific Islander,347.0,70.67,491.0
454,644,Grad Rate -Black,3640.0,74.04,4916.0
455,644,Grad Rate -Economically Disadvantaged,3332.0,68.73,4848.0
456,644,Grad Rate -Female,2900.0,80.27,3613.0
457,644,Grad Rate -Hispanic,621.0,59.71,1040.0
458,644,Grad Rate -Homeless,91.0,51.7,176.0
459,644,Grad Rate -Limited English Proficient,514.0,51.66,995.0
460,644,Grad Rate -Male,2441.0,66.64,3663.0
461,644,Grad Rate -Multi-Racial,80.0,74.77,107.0
462,644,Grad Rate -Not Economically Disadvantaged,2009.0,82.7,2428.0
463,644,Grad Rate -Students With Disability,310.0,46.48,667.0
464,644,Grad Rate -Students Without Disability,5031.0,76.1,6609.0
465,644,Grad Rate -White,641.0,90.79,706.0
466,645,Grad Rate -ALL Students,199.0,90.45,220.0
467,645,Grad Rate -Black,80.0,91.95,87.0
468,645,Grad Rate -Economically Disadvantaged,136.0,88.31,154.0
469,645,Grad Rate -Female,106.0,94.64,112.0
470,645,Grad Rate -Male,93.0,86.11,108.0
